Protein	Donor	Type	Replicate	Value
ATP5C1	4	L	3	34332.1525
ATP5C1	5	L	1	36452.93928
ATP5C1	5	L	2	41113.96607
ATP5C1	5	L	3	43188.39832
ATP5C1	6	L	1	67148.94951
ATP5C1	6	L	2	67192.68393
ATP5C1	6	L	3	69386.41528
CLTB	1	H	1	79753.7
CLTB	1	H	2	76256.00514
CLTB	1	H	3	71829.20836
CLTB	2	H	1	139003.4118
CLTB	2	H	2	132520.9646
CLTB	2	H	3	132562.7678
CLTB	3	H	1	152027.6165
CLTB	3	H	2	148833.8228
CLTB	3	H	3	150963.0828
CLTB	4	H	1	43948.27021
CLTB	4	H	2	52515.95268
CLTB	4	H	3	38568.78944
CLTB	5	H	1	106588.1141
CLTB	5	H	2	110251.4219
CLTB	5	H	3	115009.0618
CLTB	6	H	1	121080.2909
CLTB	6	H	2	124612.4272
CLTB	6	H	3	117757.4734
CLTB	1	L	1	69303.10421
CLTB	1	L	2	71017.04364
CLTB	1	L	3	67261.36892
CLTB	2	L	1	100322.379
CLTB	2	L	2	103130.3483
CLTB	2	L	3	110063.6628
CLTB	3	L	1	108967.1904
CLTB	3	L	2	96838.82858
CLTB	3	L	3	115531.7507
CLTB	4	L	1	34375.23364
CLTB	4	L	2	42876.91116
CLTB	4	L	3	31786.4645
CLTB	5	L	1	98474.07846
CLTB	5	L	2	95236.46286
CLTB	5	L	3	104902.2357
CLTB	6	L	1	97969.31276
CLTB	6	L	2	101708.0999
CLTB	6	L	3	97954.35396
PRKCSH	1	H	1	296542
PRKCSH	1	H	2	300558.5079
PRKCSH	1	H	3	295480.7338
PRKCSH	2	H	1	272374.9734
PRKCSH	2	H	2	269056.6282
PRKCSH	2	H	3	260363.1603
PRKCSH	3	H	1	276222.689
PRKCSH	3	H	2	270810.9815
PRKCSH	3	H	3	273302.6697
PRKCSH	4	H	1	274132.2354
PRKCSH	4	H	2	233816.8838
PRKCSH	4	H	3	266319.2882
PRKCSH	5	H	1	229541.837
PRKCSH	5	H	2	212377.8027
PRKCSH	5	H	3	203737.1853
PRKCSH	6	H	1	237912.6514
PRKCSH	6	H	2	253004.9275
PRKCSH	6	H	3	227208.9942
PRKCSH	1	L	1	264483.3372
PRKCSH	1	L	2	283138.9672
PRKCSH	1	L	3	281851.4961
PRKCSH	2	L	1	176841.4521
PRKCSH	2	L	2	167125.2793
PRKCSH	2	L	3	178608.8476
PRKCSH	3	L	1	179856.2241
PRKCSH	3	L	2	178626.4989
PRKCSH	3	L	3	183560.1549
PRKCSH	4	L	1	173472.2546
PRKCSH	4	L	2	183521.8109
PRKCSH	4	L	3	166007.5746
PRKCSH	5	L	1	189665.469
PRKCSH	5	L	2	183471.02
PRKCSH	5	L	3	173604.1407
PRKCSH	6	L	1	233204.8566
PRKCSH	6	L	2	235010.377
PRKCSH	6	L	3	234597.3305
CRYAA	1	H	1	29532.2
CRYAA	1	H	2	36210.06151
CRYAA	1	H	3	29053.30344
CRYAA	2	H	1	11673.04865
CRYAA	2	H	2	12886.52378
CRYAA	2	H	3	13277.1381
CRYAA	3	H	1	9558.690312
CRYAA	3	H	2	11590.34981
